Name,Developer,Installs,Category,Size,Rating,Votes,5 Stars,1 Star
Table for Euro 2016,GameLikeApps,<۱۰,ورزشی,۵ مگابایت,0.0,0,0,0
Scramble,Rage.Fan,<۱۰,ورزشی,۴۰ مگابایت,0.0,0,0,0
Karate Training,LOYAL Health & Fitness,<۱۰,ورزشی,۸۰ مگابایت,0.0,0,0,0
"Super-Referee, Football",bitkiller,<۱۰,ورزشی,۲ مگابایت,0.0,0,0,0
rugby.net News & Live Scores,Loyal_Apps,<۱۰,ورزشی,۲۵ مگابایت,0.0,0,0,0
Zepp - زپ,Huami Inc.,+۲۰ هزار,ورزشی,۱۶۷ مگابایت,4.4,519,71,5
NZ Tides,Jevon Longdell,<۱۰,ورزشی,۴۸۲ کیلوبایت,0.0,0,0,0
Activity Scheduler,rSchoolToday,<۱۰,ورزشی,۴۳ مگابایت,0.0,0,0,0
GolfBox App,GolfBox,<۱۰,ورزشی,۷ مگابایت,0.0,0,0,0
Olegend - Football Live score,Malico,<۱۰,ورزشی,۲۵ مگابایت,0.0,0,0,0
Schedule for World Cup 2022,Live Scores Apps,<۱۰,ورزشی,۸ مگابایت,0.0,0,0,0
Wrestling - Strength & Conditi,LOYAL Health & Fitness,<۱۰,ورزشی,۸۰ مگابایت,0.0,0,0,0
Sports Betting Tips,Expertinho Ltd.,<۱۰,ورزشی,۱۴ مگابایت,0.0,0,0,0
Wyscout,Wyscout,<۱۰,ورزشی,۱۱ مگابایت,0.0,0,0,0
Golf Handicap Calculator,InfoTalk LLC,<۱۰,ورزشی,۱ مگابایت,0.0,0,0,0
Bowling Score Sheet,Mobile Gyro,<۱۰,ورزشی,۴ مگابایت,0.0,0,0,0
CricRed - Cricket Live Score,CricRed,<۱۰,ورزشی,۲۴ مگابایت,0.0,0,0,0
Sportstoon - the sports app,Prankys Wizword (OPC) Pvt. Ltd.,<۱۰,ورزشی,۲۵ مگابایت,0.0,0,0,0
Pet Dog Simulator: Virtual Puppy Games- Dog Games,EBSA Tech,+۵۰ هزار,ورزشی,۵۵ مگابایت,4.0,60,63,23
Darts Scorecard,eScape Technology LLC,<۱۰,ورزشی,۸۳۷ کیلوبایت,0.0,0,0,0
Prode Master - World Cup 2022,Picatecla,<۱۰,ورزشی,۸ مگابایت,0.0,0,0,0
Libertadores Calculator,FFF software,<۱۰,ورزشی,۳ مگابایت,0.0,0,0,0
Golfyardage - golf course map,(주)골프야디지,<۱۰,ورزشی,۲۲ مگابایت,0.0,0,0,0
Deer hunting calls,Vstd,<۱۰,ورزشی,۱۷ مگابایت,0.0,0,0,0
Netball Live Official,Telstra Ltd,<۱۰,ورزشی,۶۷ مگابایت,0.0,0,0,0
TIPSWAY BETTING TIPS,tipsway,<۱۰,ورزشی,۱۳ مگابایت,0.0,0,0,0
Super League 2022 Live Match,Himanshu Gurjar,<۱۰,ورزشی,۱۲ مگابایت,0.0,0,0,0
کلین شیت | فوتبال رقابت و جایزه,توسعه هوشمند یک امید تازه,+۵ هزار,ورزشی,۱۱ مگابایت,4.2,102,72,13
CaughtOffside,Rocket Sports Network,<۱۰,ورزشی,۶ مگابایت,0.0,0,0,0
Referee Whistle,eland apps,<۱۰,ورزشی,۵ مگابایت,0.0,0,0,0
Pull Ups - ArmEx(free):,ro(c)k,<۱۰,ورزشی,۲ مگابایت,0.0,0,0,0
e2c Team Manager - Soccer,Easy2Coach GmbH,<۱۰,ورزشی,۳۹ مگابایت,0.0,0,0,0
Betting Tips & Bet Odds app,Wonanza Digital,<۱۰,ورزشی,۴۴ مگابایت,0.0,0,0,0
India VS Pakistan Train racing,BKSON,<۱۰,ورزشی,۷۸ مگابایت,0.0,0,0,0
UEFA Integrity,UEFA,<۱۰,ورزشی,۱ مگابایت,0.0,0,0,0
Champions Hockey League,Champions Hockey League,<۱۰,ورزشی,۲۴ مگابایت,0.0,0,0,0
FCM - Career Mode 23 Database,FUTBIN,+۱۰,ورزشی,۲۶ مگابایت,5.0,1,100,0
LAFC,"Venuetize, LLC",<۱۰,ورزشی,۴۴ مگابایت,0.0,0,0,0
Sail Expert: Sailing App,Poterion,<۱۰,ورزشی,۵۷ مگابایت,0.0,0,0,0
Bettingfans.com,BSBIP BV,<۱۰,ورزشی,۱۳ مگابایت,0.0,0,0,0
Everton,Official Everton Football Club,<۱۰,ورزشی,۳۹ مگابایت,0.0,0,0,0
Ronaldo Wallpaper HD Offline,mams studio,<۱۰,ورزشی,۲۳ مگابایت,0.0,0,0,0
Nextwin - Betting Tips,nextwin srl,<۱۰,ورزشی,۱۰ مگابایت,0.0,0,0,0
Baseball,SpeedyMarks,<۱۰,ورزشی,۱ مگابایت,0.0,0,0,0
Laws of Rugby,World Rugby,<۱۰,ورزشی,۸۸ مگابایت,0.0,0,0,0
Sports Card Price Guide,PriceGuide.Cards,<۱۰,ورزشی,۲ مگابایت,0.0,0,0,0
Skateboarding tricks,The IT Pioneer,<۱۰,ورزشی,۳ مگابایت,0.0,0,0,0
Sports Betting™,Plus Tech Limited,<۱۰,ورزشی,۴۱ مگابایت,0.0,0,0,0
Strictly 2+ soccer predictions,Stead Fast,<۱۰,ورزشی,۷ مگابایت,0.0,0,0,0
Sportity,Sportity,<۱۰,ورزشی,۱۸ مگابایت,0.0,0,0,0
Team1Sports,BlueFrame Technology,<۱۰,ورزشی,۱۸ مگابایت,0.0,0,0,0
Football winning predictions,Dev-Alex193a,<۱۰,ورزشی,۴ مگابایت,0.0,0,0,0
جدول پخش زنده مسابقات ورزشی سیما,ساسان حریفی,+۱۰۰ هزار,ورزشی,۳ مگابایت,4.5,547,81,7
Sport24 : Sports News,Société du Figaro,<۱۰,ورزشی,۲۶ مگابایت,0.0,0,0,0
LS11 News,Ian Jennings,<۱۰,ورزشی,۴ مگابایت,0.0,0,0,0
Tipsters Round-Up - Free Betti,Tipsters Round-Up,<۱۰,ورزشی,۲۳ مگابایت,0.0,0,0,0
Fly Fishing Encyclopedia,Dick Wildblood,<۱۰,ورزشی,۱۶ مگابایت,0.0,0,0,0
HT/FT Fixed Matches 101% - DAI,DailyBET,<۱۰,ورزشی,۴ مگابایت,0.0,0,0,0
SkiApp LITE - THE Ski Computer,eriegel,<۱۰,ورزشی,۱۵ مگابایت,0.0,0,0,0
Cricket: Live Line & Score,Cric Line,<۱۰,ورزشی,۵۳ مگابایت,0.0,0,0,0
Asian Cup Football 2023 Scores,NeelShirish Studio,<۱۰,ورزشی,۷ مگابایت,0.0,0,0,0
Darts Scoreboard,Haaz,+۱ هزار,ورزشی,۵ مگابایت,4.2,8,75,13
beIN SPORTS,beIN MEDIA GROUP,+۲ هزار,ورزشی,۳۴ مگابایت,4.4,8,75,13
Seattle Sports,Bonneville International,<۱۰,ورزشی,۱۷ مگابایت,0.0,0,0,0
MPT MNL - Myanmar National Lea,Myanma Posts and Telecommunications,<۱۰,ورزشی,۶ مگابایت,0.0,0,0,0
NRL Tipping,NRL Digital,<۱۰,ورزشی,۲۳ مگابایت,0.0,0,0,0
UAE Football Association-UAEFA,UAE Football Association,<۱۰,ورزشی,۹ مگابایت,0.0,0,0,0
League Table Creator,Myth Productions,<۱۰,ورزشی,۵ مگابایت,0.0,0,0,0
Bundesliga Fussball,H&A Software,<۱۰,ورزشی,۱۱ مگابایت,0.0,0,0,0
Ligue 2,XOOPsoft,<۱۰,ورزشی,۹ مگابایت,0.0,0,0,0
betstamp - Sports Betting Hub,betstamp,<۱۰,ورزشی,۱۸ مگابایت,0.0,0,0,0
BJJ Roadmap by Stephan Kesting,Grapplearts Enterprises Inc,<۱۰,ورزشی,۶۹۵ مگابایت,0.0,0,0,0
