5 Stars,1 Star,En_Category,Install_con,Cleaned_Name,Rate
81,4,vrzshy,10000,BeSoccer,4
0,0,vrzshy,10,Team,0
0,0,vrzshy,10,007,0
0,0,vrzshy,10,Expert,0
0,0,vrzshy,10,Cristiano,0
0,0,vrzshy,10,Teamer,0
0,0,vrzshy,10,TIPSTOP,0
0,0,vrzshy,10,FANZO,0
100,0,vrzshy,500,CREX,5
0,0,vrzshy,10,Football,0
0,0,vrzshy,10,SportsTables,0
0,0,vrzshy,10,BMW,0
0,0,vrzshy,10,Cincinnati,0
0,0,vrzshy,10,Football,0
100,0,vrzshy,10,ستاره,5
0,0,vrzshy,10,SURE,0
0,0,vrzshy,10,Carv,0
0,0,vrzshy,10,All,0
0,0,vrzshy,10,Racing,0
0,0,vrzshy,10,토사모,0
0,0,vrzshy,10,Arrows,0
73,9,vrzshy,2000,A,4
73,6,vrzshy,10000,GOAL,4
71,0,vrzshy,1000,Fantasy,4
0,0,vrzshy,10,What's,0
0,0,vrzshy,10,SportsJig,0
0,0,vrzshy,10,Cheerleading,0
0,0,vrzshy,10,Squirrel,0
0,0,vrzshy,10,Whitetail,0
90,2,vrzshy,1000000,فوتبال,4
81,3,vrzshy,20000,روفرم,4
0,0,vrzshy,10,Scope,0
0,0,vrzshy,10,Hertha,0
0,0,vrzshy,10,Live,0
0,0,vrzshy,10,Official,0
0,0,vrzshy,10,Freader1,0
85,7,tnasb andam,5000,های,4
0,0,vrzshy,10,AirCourts,0
50,50,vrzshy,100,Dream,3
0,0,vrzshy,10,BallparkDJ,0
0,0,vrzshy,10,Republic,0
0,0,vrzshy,10,Live,0
0,0,vrzshy,10,Today,0
89,4,vrzshy,10000,تراپ،,4
0,0,vrzshy,10,Rugby,0
71,13,vrzshy,20000,ورزشگاه,4
0,0,vrzshy,10,IMSA,0
0,0,vrzshy,10,Scoreboard,0
80,6,vrzshy,10000,Premier,4
0,0,vrzshy,10,Judo,0
0,0,vrzshy,10,Skitude,0
0,0,vrzshy,10,MCG,0
0,0,vrzshy,10,My,0
0,0,vrzshy,10,Bet,0
0,0,vrzshy,10,Fantasy,0
0,0,vrzshy,10,Live,0
0,0,vrzshy,10,Basketball,0
0,0,vrzshy,10,AFL,0
0,0,vrzshy,10,Interval,0
0,0,vrzshy,10,ClipMyHorse.TV,0
88,2,vrzshy,200000,FotMob,4
0,0,vrzshy,10,cricket,0
0,0,vrzshy,10,Aikido,0
0,0,vrzshy,10,Cricket,0
0,0,vrzshy,10,SkyPro,0
0,0,vrzshy,10,Agility,0
0,0,vrzshy,10,SAP,0
0,0,vrzshy,10,UK,0
0,0,vrzshy,10,Cricket,0
0,0,vrzshy,10,"Alvarez,sport",0
0,0,vrzshy,10,Live,0
0,0,vrzshy,10,Football,0
0,0,vrzshy,10,Vertical,0
0,0,vrzshy,10,Skisporet.no,0
0,0,vrzshy,10,Next,0
0,0,vrzshy,10,igMember,0
0,0,vrzshy,10,Divers,0
0,0,vrzshy,10,Fish,0
0,0,vrzshy,10,AltiVario.,0
0,0,vrzshy,10,Baylor,0
0,0,vrzshy,10,Mirror,0
82,0,vrzshy,1000,Bike,4
0,0,vrzshy,10,Boston,0
0,0,vrzshy,10,Bike,0
0,0,vrzshy,10,BicyCalc,0
0,0,vrzshy,10,T20liveline,0
0,0,vrzshy,10,Fixed,0
0,0,vrzshy,10,EXR,0
0,0,vrzshy,10,Latest,0
0,0,vrzshy,10,Turkey,0
0,0,vrzshy,10,SportsLine,0
67,0,vrzshy,10,فیلم,4
0,0,vrzshy,10,Live,0
0,0,vrzshy,10,KheloMore,0
0,0,vrzshy,10,Free,0
0,0,vrzshy,10,Real,0
0,0,vrzshy,10,FFScore,0
0,0,vrzshy,10,WL,0
84,4,vrzshy,10000,Forza,4
0,0,vrzshy,10,Horse,0
81,3,vrzshy,10000,تکنیک,4
0,0,vrzshy,10,Roster,0
0,0,vrzshy,10,Figuritas,0
0,0,vrzshy,10,RVG,0
0,0,vrzshy,10,Soccer,0
0,0,vrzshy,10,GAME,0
0,0,vrzshy,10,One,0
0,0,vrzshy,10,UEFA,0
0,0,vrzshy,10,Juggling,0
0,0,vrzshy,10,Plunge,0
0,0,vrzshy,10,Qualifiers,0
0,0,vrzshy,10,BMX,0
79,15,vrzshy,20000,Juventus,4
0,0,vrzshy,10,Live,0
0,0,vrzshy,10,Archery,0
0,0,vrzshy,10,G,0
0,0,vrzshy,100,Bike,3
100,0,vrzshy,50,CCTV,5
0,0,vrzshy,10,Peladeiros,0
0,0,vrzshy,10,T20,0
0,0,vrzshy,10,Discores,0
0,0,vrzshy,10,Fishidy,0
0,0,vrzshy,10,Live,0
0,0,vrzshy,10,Guaranteed,0
82,5,vrzshy,20000,آموزش,4
0,0,vrzshy,10,Penalty.com,0
0,0,vrzshy,10,Subsurface,0
0,0,vrzshy,10,Football,0
0,0,vrzshy,10,LFC,0
0,0,vrzshy,10,Grow,0
0,0,vrzshy,10,Cricket,0
0,0,vrzshy,10,Shadowboxing,0
79,5,vrzshy,100000,طرفداری,4
0,0,vrzshy,10,TVDeportes,0
